name,birth_bonus,survival_bonus,energy_scale,n_steps,gamma,scenario,mode,replica,seed,steps,mean_pop_last50,final_pop,max_pop,extinct,extinction_step,total_moves
baseline,0.2,0.02,3.0,4,0.95,S2,rule_learn,0,20000,500,33.12,52,204,0,500,10623
baseline,0.2,0.02,3.0,4,0.95,S2,rule_learn,3,20003,500,32.76,44,199,0,500,12070
baseline,0.2,0.02,3.0,4,0.95,S2,rule_learn,4,20004,500,37.3,32,207,0,500,10390
baseline,0.2,0.02,3.0,4,0.95,S2,rule_learn,5,20005,500,37.06,33,213,0,500,12796
baseline,0.2,0.02,3.0,4,0.95,S2,rule_learn,1,20001,500,35.92,33,199,0,500,11816
baseline,0.2,0.02,3.0,4,0.95,S2,rule_learn,2,20002,500,32.7,34,205,0,500,12250
baseline,0.2,0.02,3.0,4,0.95,S2,rule_learn,6,20006,500,34.3,56,199,0,500,12131
baseline,0.2,0.02,3.0,4,0.95,S2,rule_learn,7,20007,500,38.88,35,210,0,500,10870
baseline,0.2,0.02,3.0,4,0.95,S2,rule_learn,9,20009,500,37.78,17,203,0,500,10742
baseline,0.2,0.02,3.0,4,0.95,S2,rule_learn,8,20008,500,33.88,37,210,0,500,12624
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_learn,5,120005,500,102.92307692307692,0,189,1,12,371
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_learn,3,120003,500,79.6875,0,194,1,15,406
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_learn,1,120001,500,60.77272727272727,0,189,1,21,355
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_learn,2,120002,500,98.92307692307692,0,182,1,12,354
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_learn,4,120004,500,79.82352941176471,0,176,1,16,428
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_learn,7,120007,500,67.52631578947368,0,184,1,18,375
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_learn,0,120000,500,74.72222222222223,0,191,1,17,345
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_learn,8,120008,500,85.2,0,190,1,14,350
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_offline_learn,1,220001,500,100.6923076923077,0,202,1,12,288
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_learn,9,120009,500,42.52,0,183,1,160,2124
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_offline_learn,7,220007,500,94.6923076923077,0,202,1,12,246
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_offline_learn,8,220008,500,34.86,0,198,1,82,1346
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_learn,6,120006,500,33.76,62,198,0,500,7117
baseline,0.2,0.02,3.0,4,0.95,S3,rule_learn,0,30000,500,43.08,73,209,0,500,11987
baseline,0.2,0.02,3.0,4,0.95,S3,rule_learn,1,30001,500,41.42,54,212,0,500,14511
baseline,0.2,0.02,3.0,4,0.95,S3,rule_learn,2,30002,500,37.86,48,214,0,500,11881
baseline,0.2,0.02,3.0,4,0.95,S3,rule_learn,3,30003,500,44.08,26,203,0,500,11959
baseline,0.2,0.02,3.0,4,0.95,S3,rule_learn,4,30004,500,46.38,36,214,0,500,10106
baseline,0.2,0.02,3.0,4,0.95,S3,rule_learn,5,30005,500,38.82,24,206,0,500,13181
baseline,0.2,0.02,3.0,4,0.95,S3,rule_learn,6,30006,500,40.52,48,197,0,500,13392
baseline,0.2,0.02,3.0,4,0.95,S3,rule_learn,7,30007,500,42.38,15,206,0,500,10327
baseline,0.2,0.02,3.0,4,0.95,S3,rule_learn,8,30008,500,39.8,19,217,0,500,12709
baseline,0.2,0.02,3.0,4,0.95,S3,rule_learn,9,30009,500,42.32,94,219,0,500,11519
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_learn,0,130000,500,73.42105263157895,0,200,1,18,384
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_offline_learn,0,220000,500,42.6,17,197,0,500,9339
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_offline_learn,3,220003,500,38.68,33,189,0,500,9276
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_offline_learn,2,220002,500,39.36,54,187,0,500,9611
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_offline_learn,5,220005,500,37.08,0,192,1,466,8392
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_offline_learn,4,220004,500,35.56,43,195,0,500,9185
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_learn,2,130002,500,91.5625,0,198,1,15,402
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_learn,3,130003,500,77.47368421052632,0,209,1,18,375
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_offline_learn,6,220006,500,39.38,36,199,0,500,9408
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_learn,5,130005,500,78.0,0,207,1,18,393
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_learn,6,130006,500,87.375,0,205,1,15,347
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_learn,7,130007,500,100.14285714285714,0,193,1,13,375
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_learn,8,130008,500,68.9,0,195,1,19,365
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_learn,9,130009,500,72.75,0,202,1,19,367
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_learn,1,130001,500,38.52,0,214,1,100,1249
baseline,0.2,0.02,3.0,4,0.95,S2,mlp_offline_learn,9,220009,500,38.84,65,188,0,500,9464
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_learn,4,130004,500,42.96,31,194,0,500,9459
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_offline_learn,0,230000,500,43.6,53,180,0,500,11520
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_offline_learn,2,230002,500,43.84,55,193,0,500,11200
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_offline_learn,1,230001,500,44.96,29,185,0,500,11113
baseline,0.2,0.02,3.0,4,0.95,S4,rule_learn,0,40000,500,50.76,83,213,0,500,11898
baseline,0.2,0.02,3.0,4,0.95,S4,rule_learn,1,40001,500,51.24,26,218,0,500,12731
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_offline_learn,3,230003,500,42.56,26,189,0,500,11169
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_offline_learn,4,230004,500,41.32,60,189,0,500,11257
baseline,0.2,0.02,3.0,4,0.95,S4,rule_learn,2,40002,500,48.02,47,219,0,500,14462
baseline,0.2,0.02,3.0,4,0.95,S4,rule_learn,4,40004,500,45.32,45,219,0,500,14188
baseline,0.2,0.02,3.0,4,0.95,S4,rule_learn,3,40003,500,50.44,50,220,0,500,11862
baseline,0.2,0.02,3.0,4,0.95,S4,rule_learn,5,40005,500,51.64,80,220,0,500,12475
baseline,0.2,0.02,3.0,4,0.95,S4,rule_learn,6,40006,500,46.84,22,216,0,500,14370
baseline,0.2,0.02,3.0,4,0.95,S4,rule_learn,7,40007,500,46.58,51,215,0,500,15443
baseline,0.2,0.02,3.0,4,0.95,S4,rule_learn,8,40008,500,53.68,25,212,0,500,12896
baseline,0.2,0.02,3.0,4,0.95,S4,rule_learn,9,40009,500,47.3,81,222,0,500,13355
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_offline_learn,5,230005,500,46.04,39,202,0,500,11244
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_learn,0,140000,500,100.1875,0,212,1,15,379
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_learn,3,140003,500,100.625,0,201,1,15,388
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_learn,4,140004,500,47.06,0,210,1,78,1007
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_learn,6,140006,500,99.6875,0,205,1,15,387
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_offline_learn,6,230006,500,44.24,51,182,0,500,11338
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_learn,7,140007,500,113.2,0,216,1,14,373
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_learn,8,140008,500,110.53333333333333,0,217,1,14,376
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_learn,5,140005,500,54.48,0,214,1,223,3969
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_offline_learn,7,230007,500,44.4,50,200,0,500,11169
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_offline_learn,9,230009,500,44.58,66,186,0,500,11300
baseline,0.2,0.02,3.0,4,0.95,S3,mlp_offline_learn,8,230008,500,44.9,45,198,0,500,11166
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_learn,1,140001,500,50.62,51,207,0,500,10646
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_learn,2,140002,500,51.9,49,210,0,500,8407
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_learn,9,140009,500,47.64,96,203,0,500,9744
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_offline_learn,0,240000,500,50.14,50,214,0,500,12246
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_offline_learn,1,240001,500,47.84,76,208,0,500,12535
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_offline_learn,2,240002,500,49.42,59,213,0,500,12164
birth_0.10,0.1,0.02,3.0,4,0.95,S2,rule_learn,0,20000,500,38.48,13,204,0,500,10353
birth_0.10,0.1,0.02,3.0,4,0.95,S2,rule_learn,1,20001,500,34.9,40,199,0,500,12041
birth_0.10,0.1,0.02,3.0,4,0.95,S2,rule_learn,2,20002,500,33.64,23,205,0,500,11739
birth_0.10,0.1,0.02,3.0,4,0.95,S2,rule_learn,3,20003,500,31.12,34,199,0,500,12288
birth_0.10,0.1,0.02,3.0,4,0.95,S2,rule_learn,4,20004,500,36.04,35,207,0,500,11157
birth_0.10,0.1,0.02,3.0,4,0.95,S2,rule_learn,5,20005,500,32.74,37,213,0,500,12924
birth_0.10,0.1,0.02,3.0,4,0.95,S2,rule_learn,6,20006,500,32.74,50,199,0,500,12236
birth_0.10,0.1,0.02,3.0,4,0.95,S2,rule_learn,7,20007,500,33.7,28,210,0,500,11842
birth_0.10,0.1,0.02,3.0,4,0.95,S2,rule_learn,8,20008,500,33.38,35,210,0,500,10466
birth_0.10,0.1,0.02,3.0,4,0.95,S2,rule_learn,9,20009,500,35.74,37,203,0,500,10960
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_offline_learn,3,240003,500,52.42,30,213,0,500,12347
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_offline_learn,4,240004,500,52.68,25,211,0,500,12538
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_learn,0,120000,500,74.72222222222223,0,191,1,17,345
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_learn,1,120001,500,60.77272727272727,0,189,1,21,355
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_learn,2,120002,500,98.92307692307692,0,182,1,12,354
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_learn,3,120003,500,79.6875,0,194,1,15,406
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_learn,4,120004,500,79.82352941176471,0,176,1,16,428
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_learn,5,120005,500,102.92307692307692,0,189,1,12,371
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_offline_learn,5,240005,500,50.72,47,207,0,500,12596
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_learn,7,120007,500,67.52631578947368,0,184,1,18,375
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_learn,8,120008,500,85.2,0,190,1,14,350
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_offline_learn,6,240006,500,51.16,33,210,0,500,12454
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_offline_learn,1,220001,500,92.07142857142857,0,202,1,13,296
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_learn,9,120009,500,42.52,0,183,1,160,2124
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_offline_learn,7,240007,500,50.24,27,202,0,500,12299
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_offline_learn,8,240008,500,50.3,39,215,0,500,12444
baseline,0.2,0.02,3.0,4,0.95,S4,mlp_offline_learn,9,240009,500,51.48,45,203,0,500,12533
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_learn,6,120006,500,35.22,0,198,1,448,5933
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_offline_learn,7,220007,500,94.6923076923077,0,202,1,12,246
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_offline_learn,0,220000,500,38.7,61,197,0,500,9273
birth_0.10,0.1,0.02,3.0,4,0.95,S3,rule_learn,0,30000,500,46.12,18,209,0,500,12293
birth_0.10,0.1,0.02,3.0,4,0.95,S3,rule_learn,1,30001,500,41.7,47,212,0,500,14546
birth_0.10,0.1,0.02,3.0,4,0.95,S3,rule_learn,2,30002,500,42.9,26,214,0,500,11804
birth_0.10,0.1,0.02,3.0,4,0.95,S3,rule_learn,3,30003,500,38.98,25,203,0,500,12304
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_offline_learn,2,220002,500,37.94,40,187,0,500,9368
birth_0.10,0.1,0.02,3.0,4,0.95,S3,rule_learn,4,30004,500,43.38,0,214,1,447,9142
birth_0.10,0.1,0.02,3.0,4,0.95,S3,rule_learn,6,30006,500,46.58,50,197,0,500,10107
birth_0.10,0.1,0.02,3.0,4,0.95,S3,rule_learn,5,30005,500,38.52,41,206,0,500,13625
birth_0.10,0.1,0.02,3.0,4,0.95,S3,rule_learn,7,30007,500,46.34,38,206,0,500,10985
birth_0.10,0.1,0.02,3.0,4,0.95,S3,rule_learn,8,30008,500,41.84,30,217,0,500,13040
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_offline_learn,3,220003,500,34.94,58,189,0,500,9281
birth_0.10,0.1,0.02,3.0,4,0.95,S3,rule_learn,9,30009,500,40.72,34,219,0,500,13575
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_learn,0,130000,500,73.42105263157895,0,200,1,18,384
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_learn,2,130002,500,91.5625,0,198,1,15,402
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_learn,1,130001,500,41.84,0,214,1,54,798
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_learn,3,130003,500,77.47368421052632,0,209,1,18,375
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_offline_learn,4,220004,500,30.22,40,195,0,500,9428
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_learn,5,130005,500,78.0,0,207,1,18,393
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_learn,6,130006,500,87.375,0,205,1,15,347
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_learn,7,130007,500,100.14285714285714,0,193,1,13,375
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_learn,8,130008,500,68.9,0,195,1,19,365
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_learn,9,130009,500,72.75,0,202,1,19,367
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_offline_learn,9,220009,500,35.88,0,188,1,341,5942
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_offline_learn,5,220005,500,41.32,39,192,0,500,9502
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_offline_learn,6,220006,500,37.12,32,199,0,500,9311
birth_0.10,0.1,0.02,3.0,4,0.95,S2,mlp_offline_learn,8,220008,500,38.18,67,198,0,500,9358
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_learn,4,130004,500,42.42,55,194,0,500,8899
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_offline_learn,0,230000,500,45.64,36,180,0,500,11291
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_offline_learn,1,230001,500,43.44,25,185,0,500,11211
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_offline_learn,3,230003,500,42.3,27,189,0,500,11321
birth_0.10,0.1,0.02,3.0,4,0.95,S3,mlp_offline_learn,2,230002,500,42.12,77,193,0,500,11003
birth_0.10,0.1,0.02,3.0,4,0.95,S4,rule_learn,0,40000,500,50.44,77,216,0,500,13327
birth_0.10,0.1,0.02,3.0,4,0.95,S4,rule_learn,1,40001,500,50.18,58,218,0,500,13037
